lat,long,fourweek_avg,week1,week2,week3,week4
31.03583312,-103.4441665,0.625,0.5,0.5,0.5,1
31.06666645,-103.4208332,0.75,0.5,0.5,1,1
31.09916645,-103.4108332,0.75,0.5,0.5,1,1
31.13583312,-103.4099998,0.75,0.5,1,1,0.5
31.16499979,-103.3966665,0.75,1,1,0.5,0.5
31.03416645,-103.3341665,0.625,0.5,0.5,0.5,1
31.07083312,-103.3208332,0.75,0.5,0.5,1,1
31.10249978,-103.3041665,0.75,0.5,1,1,0.5
31.13416645,-103.3033332,0.75,0.5,1,1,0.5
31.16666645,-103.2949998,0.75,1,1,0.5,0.5
31.20001287,-103.2683201,0.625,1,0.5,0.5,0.5
31.16916645,-103.3983332,0.75,1,1,0.5,0.5
31.20003348,-103.3866328,0.625,1,0.5,0.5,0.5
31.07416645,-103.3566665,0.75,0.5,0.5,1,1
31.10249978,-103.3316665,0.75,0.5,1,1,0.5
31.13416645,-103.3199998,0.75,0.5,1,1,0.5
31.16916645,-103.3033332,0.75,1,1,0.5,0.5
31.09583312,-103.3891665,0.75,0.5,0.5,1,1
31.13166645,-103.3816665,0.75,0.5,1,1,0.5
31.02749978,-103.3799998,0.625,0.5,0.5,0.5,1
31.05999978,-103.3608332,0.75,0.5,0.5,1,1
31.07416629,-103.25,0.75,0.5,0.5,1,1
31.17083312,-103.2766665,0.75,1,1,0.5,0.5
31.09166645,-103.25,0.75,0.5,0.5,1,1
